,date,pre_price,post_price,pct_change,company,volume,MA200,RSI,Above_MA200,RSI_Level,EPS_Actual,EPS_Estimate,EPS_Surprise
0,2025-03-19 20:00:00-04:00,87.08000183105469,94.72000122070312,8.773540685576608,MU,25484299.5,105.67497009277344,29.160493695704687,False,Oversold,,,
1,2024-12-17 19:00:00-05:00,102.68658447265625,88.51499938964844,-13.800814542411304,MU,32264678.57142857,110.21866027832031,61.409532026148945,False,Neutral,,,
2,2024-09-24 20:00:00-04:00,86.96895599365234,102.00247955322266,17.286080289002864,MU,34312880.0,104.38238174438476,32.167839973026545,False,Neutral,,,
3,2024-06-25 20:00:00-04:00,147.34326171875,131.16671752929688,-10.97881504776991,MU,36561284.615384616,91.9677544784546,67.0720787195997,True,Neutral,,,
4,2024-03-19 20:00:00-04:00,94.10799407958984,117.50184631347656,24.858517560263653,MU,32492414.285714287,73.65015619277955,73.29509754291244,True,Overbought,,,
5,2023-12-19 19:00:00-05:00,77.35552978515625,84.97698974609375,9.852508259079858,MU,17726950.0,65.72405040740966,46.89139330130342,True,Neutral,,,
6,2023-09-26 20:00:00-04:00,69.9894790649414,69.56925964355469,-0.600403699242865,MU,17206566.666666668,61.330898170471194,74.50417487296862,True,Overbought,,,
0,2025-02-09 19:00:00-05:00,52.34000015258789,55.52000045776367,6.0756597170520825,ON,9879023.076923076,69.26489999771118,42.76673224544306,False,Neutral,,,
1,2024-10-27 20:00:00-04:00,68.48999786376953,72.2699966430664,5.519052266311215,ON,7984764.285714285,72.8689001083374,35.05079524497377,False,Neutral,,,
2,2024-07-28 20:00:00-04:00,72.52999877929688,66.38999938964844,-8.46546186817399,ON,9972264.285714285,74.94394996643067,57.761306924423714,False,Neutral,,,
3,2024-04-28 20:00:00-04:00,60.709999084472656,70.66999816894531,16.405862682709298,ON,8573692.857142856,82.83804988861084,19.0094309406541,False,Oversold,,,
4,2024-02-04 19:00:00-05:00,71.70999908447266,81.66999816894531,13.889275152186261,ON,8872142.857142856,85.43919975280761,38.97182525373298,False,Neutral,,,
5,2023-10-29 20:00:00-04:00,84.83000183105469,66.25,-21.902630472716663,ON,12468942.857142856,85.96659976959228,34.771753500909725,False,Neutral,,,
