,date,pre_price,post_price,pct_change,company,volume,MA200,RSI,Above_MA200,RSI_Level,EPS_Actual,EPS_Estimate,EPS_Surprise
0,2025-03-19 20:00:00-04:00,87.08000183105469,94.72000122070312,8.773540685576608,MU,25484299.5,105.67497009277344,29.160493695704687,False,Oversold,,,
1,2024-12-17 19:00:00-05:00,102.68658447265625,88.51499938964844,-13.800814542411304,MU,32264678.57142857,110.2186604309082,61.409532026148945,False,Neutral,,,
2,2024-09-24 20:00:00-04:00,86.96895599365234,102.00247955322266,17.286080289002864,MU,34312880.0,104.3823815536499,32.167839973026545,False,Neutral,,,
3,2024-06-25 20:00:00-04:00,147.34326171875,131.16671752929688,-10.97881504776991,MU,36561284.615384616,91.96775444030762,67.0720787195997,True,Neutral,,,
4,2024-03-19 20:00:00-04:00,94.10799407958984,117.50184631347656,24.858517560263653,MU,32492414.285714287,73.65015628814697,73.295109594693,True,Overbought,,,
5,2023-12-19 19:00:00-05:00,77.35553741455078,84.97698974609375,9.852497424585604,MU,17726950.0,65.7240507888794,46.89142024977601,True,Neutral,,,
6,2023-09-26 20:00:00-04:00,69.9894790649414,69.56925964355469,-0.600403699242865,MU,17206566.666666668,61.33089838027954,74.50426306550295,True,Overbought,,,
0,2025-02-03 19:00:00-05:00,115.01000213623047,111.80999755859375,-2.7823706792442993,AMD,47086214.28571428,148.94605052947998,36.9323905526384,False,Neutral,,,
1,2024-10-28 20:00:00-04:00,157.89999389648438,149.82000732421875,-5.117154455093063,AMD,38425314.28571428,162.8052498626709,47.65644027577932,False,Neutral,,,
2,2024-07-29 20:00:00-04:00,155.8699951171875,136.32000732421875,-12.542495929553674,AMD,63084935.71428572,152.80679958343507,48.64056822688957,True,Neutral,,,
3,2024-04-29 20:00:00-04:00,148.63999938964844,152.38999938964844,2.5228740684865456,AMD,47115642.85714286,136.16474948883058,26.610649711825957,True,Oversold,,,
4,2024-01-29 19:00:00-05:00,168.17999267578125,169.35000610351562,0.6956912110169587,AMD,94327828.57142857,113.15169986724854,66.62929952242052,True,Neutral,,,
5,2023-10-30 20:00:00-04:00,100.01000213623047,113.48999786376953,13.478647574846603,AMD,61449057.14285714,99.07519989013672,49.859720076189966,True,Neutral,,,
