Date,Close,High,Low,Open,Volume,EMA9,EMA20,EMA50,EMA100,VWAP,MACD,Signal,RSI,HA_Open,HA_High,HA_Low,HA_Close,Buy_Signal,Sell_Signal
2024-12-26,118.82928466796875,120.04876545279046,117.7197575687385,117.94966280937699,2188900,118.82928466796875,118.82928466796875,118.82928466796875,118.82928466796875,118.86593589649924,0.0,0.0,,118.38947373867288,120.04876545279046,117.7197575687385,118.63686762471868,0,0
2024-12-27,115.06089782714844,117.94966442196815,113.431595886052,117.02006082952907,3813100,118.0756072998047,118.47039068312871,118.68150479185815,118.75466314636834,116.71529126051055,-0.30061205567797344,-0.06012241113559469,,118.51317068169578,118.51317068169578,113.431595886052,115.8655547411744,0,0
2024-12-30,116.1104507446289,118.1495737861355,112.18212694577785,112.28208276135918,3663200,117.68257598876956,118.24563449850969,118.58067914294719,118.70230250474974,116.24737628211255,-0.4489835240519824,-0.13789463371887223,,117.1893627114351,118.1495737861355,112.18212694577785,114.68105855947536,0,0
2024-12-31,113.56153869628906,116.45030531680355,113.34163132014359,116.3403516287308,3431600,116.85836853027347,117.79953013639344,118.38385010582334,118.6005052016119,115.77673451222579,-0.7634443703772291,-0.26300458105054364,,115.93521063545523,116.45030531680355,113.34163132014359,114.92345674049176,0,0
2025-01-02,118.2495346069336,120.15571873557107,114.83098783115908,114.97092749509923,4808000,117.13660174560549,117.84238770501631,118.37858283135708,118.59355528884599,116.30538658613204,-0.6271454238242029,-0.33583274960527554,,115.4293336879735,120.15571873557107,114.83098783115908,117.05179216719074,0,0
2025-01-03,125.61638641357422,126.05620114666826,119.03919166021228,119.19912706357003,7696700,118.83255867919925,118.58276853440277,118.66241826595385,118.73262125171189,118.48955996547345,0.07445754649864966,-0.2537746903844905,,116.24056292758212,126.05620114666826,116.24056292758212,122.4777265710062,0,0
2025-01-06,134.02281188964844,135.03237559751452,131.04408723742802,131.2439988797812,9688500,121.8706093212891,120.05324885394998,119.26478664335363,119.03539730394826,122.57384746894688,1.2938960079882946,0.055759449290066515,,119.35914474929416,135.03237559751452,119.35914474929416,132.83581840109304,0,0
2025-01-07,130.5842742919922,135.2722761911045,125.95625198537688,134.94241512386145,7258000,123.61334231542972,121.05620365757305,119.70868811977083,119.26408793737487,123.94370712178863,1.9602519628125776,0.4366579519945688,,126.0974815751936,135.2722761911045,125.95625198537688,131.68880439808376,0,0
2025-01-08,129.21485900878906,130.55428371792647,125.14658790813048,130.14445495919225,4115800,124.7336456541016,121.83321845292696,120.08147913502644,119.46113290908605,124.32839957312011,2.3507455576722265,0.8194754731301004,,128.89314298663868,130.55428371792647,125.14658790813048,128.76504639850958,0,0
2025-01-10,128.875,129.17487509106988,122.08790285844606,128.02537170296287,5205600,125.56191652328128,122.50386431455296,120.4263230905156,119.64754611880711,124.567676593486,2.6027874497224417,1.1761378684485688,,128.82909469257413,129.17487509106988,122.08790285844606,127.0407874131197,0,0
2025-01-13,123.95709991455078,124.63681013403777,118.64935995571125,123.19242687089539,6856600,125.24095320153519,122.64226770502894,120.56478492675227,119.73288381773273,124.31627182739031,2.3782836551991977,1.4165670257986946,,127.93494105284691,127.93494105284691,118.64935995571125,122.60892421879879,0,0
2025-01-14,128.89498901367188,130.824173638799,125.65637327936892,126.07619228404636,6231600,125.97176036396255,123.23776497251875,120.89145959682754,119.9143116433949,124.71365079025304,2.5691931043749747,1.6470922415139508,,125.27193263582285,130.824173638799,125.27193263582285,127.86293205397155,0,0
2025-01-15,131.94369506835938,133.4330649959368,128.81502529699355,132.40350556520704,4268100,127.16614730484193,124.06690117212263,121.32488059571115,120.15251725577042,125.12572780927383,2.9326891033410476,1.9042116138793705,,126.5674323448972,133.4330649959368,126.5674323448972,131.6488227316242,0,0
2025-01-16,132.53343200683594,136.16188829017946,131.56085515239667,133.80289448169455,4427700,128.23960424524074,124.87323744209533,121.76443163144154,120.39768388450439,125.62426425599136,3.231102999579363,2.169589891019369,64.74510165757721,129.1081275382607,136.16188829017946,129.1081275382607,133.51476748277665,0,0
2025-01-17,135.82203674316406,137.24142912281587,132.5434372530963,134.43761784033435,4915100,129.7560907448254,125.9159802326733,122.31571026327379,120.70311661437884,126.22344851680286,3.6904202134950452,2.4737559555145046,67.07513145543794,131.3114475105187,137.24142912281587,131.3114475105187,135.01113023985263,0,0
2025-01-21,143.06895446777344,143.4187960280341,135.49218579707644,141.07979778797585,7427400,132.41866348941502,127.54959682649236,123.12956297717574,121.14600449266388,127.4703205741942,4.586329755551716,2.896270715521947,76.30491607814363,133.16128887518568,143.4187960280341,133.16128887518568,140.76493352021495,0,0
2025-01-22,148.526611328125,154.7239635029854,147.6169958522491,150.01598121986862,9963900,135.64025305715703,129.54740773140975,124.12552565760512,121.68819472702944,129.8396974939192,5.6713559582104835,3.4512877640596544,78.11686251662486,136.9631111977003,154.7239635029854,136.9631111977003,150.22088797580705,0,0
2025-01-23,153.42453002929688,155.19376400454564,146.48748804044666,147.39710351498834,7579300,139.197108451585,131.82141937882756,125.27450622120088,122.31663701024264,131.4400629482216,6.847534036646749,4.130537018577074,83.22225172529384,143.59199958675367,155.19376400454564,143.59199958675367,150.62572139731938,0,0
2025-01-24,146.25758361816406,155.77351117088674,145.3479681859499,154.19418340738898,8530300,140.6092034849008,133.19629216352627,126.09737200147394,122.79071516089455,132.78627673478005,7.119284281409335,4.728286471143527,72.4159917269432,147.1088604920365,155.77351117088674,145.3479681859499,150.39331159559742,0,0
2025-01-27,102.55622863769531,121.42817918583211,99.06771963004563,117.00006874802091,47118800,132.9986085154597,130.2781908753519,125.17418990877675,122.39003225944506,125.35615845220038,3.764914596882136,4.535612096291249,38.33080906451228,148.75108604381697,148.75108604381697,99.06771963004563,110.0130490503985,0,1
2025-01-28,106.50454711914062,106.95435209149946,97.45840494318875,104.13555545357282,24199200,127.6997962361959,128.0140343271413,124.44204705428122,122.07546819726082,122.49044680903381,1.4089077474461078,3.9102712265222213,35.41688701804503,129.38206754710774,129.38206754710774,97.45840494318875,103.7632149018504,0,0
